crate_id,name,updated_at,created_at,downloads,repository,version
39,libz-sys,2022-05-28 05:18:05.172237,2014-11-11 06:38:26.586055,23892829,https://github.com/rust-lang/libz-sys,1.1.8
41,openssl-sys,2022-10-22 13:31:15.168899,2014-11-11 06:38:37.917011,46261124,https://github.com/sfackler/rust-openssl,0.9.77
251,bindgen,2022-10-16 19:54:05.549855,2014-11-21 10:14:40.304798,19262316,https://github.com/rust-lang/rust-bindgen,0.61.0
538,curl-sys,2022-10-27 03:00:42.535287,2014-12-12 20:33:25.230500,10145018,https://github.com/alexcrichton/curl-rust,0.4.58+curl-7.86.0
602,magic-sys,2022-08-18 17:56:53.516418,2014-12-19 14:39:39.547460,39281,https://github.com/robo9k/rust-magic-sys.git,0.3.0
694,allegro-sys,2022-08-23 08:47:31.842098,2015-01-04 02:11:11.501829,34921,https://github.com/SiegeLord/RustAllegro,0.0.44
695,allegro_image-sys,2022-08-23 08:47:34.538210,2015-01-04 02:11:15.378766,20981,https://github.com/SiegeLord/RustAllegro,0.0.44
697,allegro_acodec-sys,2022-08-23 08:47:47.776864,2015-01-04 02:11:23.618650,20375,https://github.com/SiegeLord/RustAllegro,0.0.44
698,allegro_dialog-sys,2022-08-23 08:47:50.947670,2015-01-04 02:11:28.220674,19725,https://github.com/SiegeLord/RustAllegro,0.0.44
699,allegro_primitives-sys,2022-08-23 08:47:54.283713,2015-01-04 02:11:32.707611,20650,https://github.com/SiegeLord/RustAllegro,0.0.44
700,allegro_font-sys,2022-08-23 08:47:56.592420,2015-01-04 02:11:36.903594,23148,https://github.com/SiegeLord/RustAllegro,0.0.44
701,allegro_ttf-sys,2022-08-23 08:48:11.643512,2015-01-04 02:11:42.128859,21388,https://github.com/SiegeLord/RustAllegro,0.0.44
714,sdl2-sys,2022-02-06 18:14:23.288532,2015-01-05 10:46:49.950730,914829,https://github.com/rust-sdl2/rust-sdl2,0.35.2
795,libc,2022-10-25 23:09:06.123869,2015-01-15 20:22:13.100871,145177014,https://github.com/rust-lang/libc,0.2.137
867,mozjpeg-sys,2022-08-18 14:10:48.248913,2015-01-24 17:21:00.232868,196114,https://github.com/kornelski/mozjpeg-sys.git,1.0.3
1460,libsqlite3-sys,2022-10-27 02:40:16.576826,2015-02-24 02:54:21.216860,8512888,https://github.com/rusqlite/rusqlite,0.25.2
1508,gexiv2-sys,2022-07-30 23:21:19.728852,2015-03-03 01:34:14.619405,22301,https://github.com/felixc/gexiv2-sys,1.2.0
1702,pam-sys,2022-01-19 16:49:18.203683,2015-03-22 23:27:51.394302,65046,https://github.com/1wilkens/pam-sys.git,1.0.0-alpha4
2005,python3-sys,2022-10-25 18:44:51.321407,2015-05-02 22:39:10.497618,439825,https://github.com/dgrunwald/rust-cpython/tree/master/python3-sys,0.7.1
2241,sqlite3-sys,2022-07-31 14:31:16.639163,2015-05-28 19:20:24.590253,157285,https://github.com/stainless-steel/sqlite3-sys,0.14.0
2621,c-ares-sys,2022-04-25 11:30:21.602090,2015-07-17 09:27:57.839742,56402,https://github.com/dimbleby/rust-c-ares,5.3.4
2646,webm-sys,2022-01-25 02:24:48.927498,2015-07-21 18:48:49.577895,12449,https://github.com/DiamondLovesYou/rust-webm.git,1.0.3
2869,llvm-sys,2022-10-08 02:03:16.605941,2015-08-18 18:07:20.379579,697752,https://gitlab.com/taricorp/llvm-sys.rs,150.0.3
2972,imgui-sys,2021-12-26 20:36:37.950521,2015-08-31 18:25:42.723165,394233,https://github.com/imgui-rs/imgui-rs,0.8.2
3150,wayland-sys,2022-10-13 19:09:19.749690,2015-10-03 11:08:21.431559,3759070,https://github.com/smithay/wayland-rs,0.30.0-beta.12
3519,security-framework-sys,2022-02-05 03:49:31.952828,2015-11-27 22:16:51.749519,17029943,https://github.com/kornelski/rust-security-framework,2.6.1
3706,mongoc-sys,2022-07-02 08:23:29.297102,2015-12-19 20:00:24.530009,45877,https://github.com/thijsc/mongo-rust-driver,1.22.0
3892,onig_sys,2022-08-09 06:34:18.229355,2016-01-13 19:01:01.399076,2482474,http://github.com/iwillspeak/rust-onig,69.8.1
4053,libftdi1-sys,2022-02-13 13:01:40.996720,2016-02-02 00:13:08.854965,96849,https://github.com/tanriol/libftdi1-sys,1.1.2
4247,allegro_color-sys,2022-08-23 08:48:17.281695,2016-02-22 06:48:16.695454,8571,https://github.com/SiegeLord/RustAllegro,0.0.44
4507,lzma-sys,2022-06-06 17:08:25.870275,2016-03-21 08:35:36.078685,3793565,https://github.com/alexcrichton/xz2-rs,0.1.19
5181,fitsio,2022-06-27 20:56:06.918994,2016-05-25 11:32:21.947960,19740,https://github.com/mindriot101/rust-fitsio,0.20.0
5477,lldb-sys,2022-09-15 04:26:01.465576,2016-06-24 14:31:33.372650,12416,https://github.com/endoli/lldb-sys.rs,0.0.29
5664,lcms2-sys,2022-09-22 01:23:42.653634,2016-07-14 09:43:11.141623,85980,https://github.com/kornelski/rust-lcms2-sys.git,4.0.0
6057,gbm,2022-08-29 18:48:46.377361,2016-08-21 22:22:05.472940,16932,https://github.com/Smithay/gbm.rs,0.9.0
7202,nautilus-extension-sys,2022-07-27 10:25:45.227761,2016-11-11 03:03:03.715246,3768,https://github.com/talklittle/nautilus-extension-rs,0.8.0
7211,capstone-sys,2022-05-02 06:34:18.984386,2016-11-12 06:38:49.679079,415000,https://github.com/capstone-rust/capstone-rs/tree/master/capstone-sys,0.15.0
7241,librocksdb-sys,2022-08-05 13:55:44.660870,2016-11-13 18:53:04.302098,3450582,https://github.com/rust-rocksdb/rust-rocksdb,0.8.0+7.4.4
7371,rdkafka-sys,2022-10-29 16:32:11.629082,2016-11-26 16:31:48.621807,2138791,https://github.com/fede1024/rust-rdkafka,4.3.0+1.9.2
7559,coremidi-sys,2022-03-11 20:27:58.354890,2016-12-13 07:43:46.027644,28173,https://github.com/jonas-k/coremidi-sys,3.1.0
7688,fitsio-sys-bindgen,2021-12-19 20:47:24.005068,2016-12-20 09:38:47.658204,1648,https://github.com/mindriot101/rust-fitsio,0.0.3
7907,gmp-mpfr-sys,2022-08-06 19:53:29.264497,2017-01-03 22:25:26.307265,243683,https://gitlab.com/tspiteri/gmp-mpfr-sys,1.4.10
8323,blkid-sys,2021-11-22 16:24:17.578135,2017-01-31 18:54:13.523163,200008,https://github.com/cholcombe973/blkid-sys,0.1.6
8677,tesseract-sys,2022-10-01 18:35:01.692582,2017-02-25 19:31:37.836358,28792,https://github.com/ccouzens/tesseract-sys,0.5.13
8708,libappindicator-sys,2022-06-29 01:43:07.318981,2017-02-27 05:58:50.921020,64623,,0.7.3
9055,odbc-sys,2022-02-04 08:21:49.935536,2017-03-19 22:34:05.473613,166539,https://github.com/pacman82/odbc-sys,0.21.2
10418,cbindgen,2022-06-09 20:39:00.456382,2017-04-12 15:57:46.007350,3921748,https://github.com/eqrion/cbindgen/,0.24.3
10606,input-sys,2021-12-11 16:19:06.024144,2017-04-14 20:50:32.974223,30600,https://github.com/Drakulix/input.rs/tree/master/input-sys,1.16.1
10608,input,2021-12-11 16:19:12.511326,2017-04-14 21:00:58.257830,37042,https://github.com/Drakulix/input.rs,0.7.1
13761,pcan-basic-sys,2022-05-15 11:39:05.003073,2017-05-08 20:38:54.770176,2142,https://github.com/tsabelmann/pcan-basic-sys,2.1.0
14946,nvml-wrapper-sys,2022-05-27 01:32:03.259384,2017-05-17 17:04:48.678026,227403,https://github.com/Cldfire/nvml-wrapper,0.6.0
21193,cassandra-cpp-sys,2022-03-30 11:07:21.245004,2017-06-29 11:38:21.169671,255236,https://github.com/Metaswitch/cassandra-sys-rs,1.1.0
21196,cassandra-cpp,2022-03-31 11:08:36.760731,2017-06-29 13:05:39.117846,26501,https://github.com/Metaswitch/cassandra-rs,1.1.0
24949,grpcio-sys,2022-06-28 17:20:57.199135,2017-07-25 03:45:45.693867,600871,https://github.com/tikv/grpc-rs,0.10.3+1.44.0-patched
31361,gbm-sys,2022-08-29 18:48:39.377241,2017-09-11 10:12:47.874189,13272,https://github.com/Drakulix/gbm.rs/tree/master/gbm-sys,0.2.1
33092,pwd,2022-07-25 12:44:09.729296,2017-09-25 18:52:10.651664,137673,https://gitlab.com/pwoolcoc/pwd.git,1.4.0
37926,xen-sys,2022-05-27 21:39:18.699653,2017-11-03 15:29:07.970297,1685,https://github.com/rust-vmm/xen-sys.git,0.0.0-pre2
38157,openmp-sys,2022-01-28 01:17:01.895827,2017-11-04 20:06:45.762896,28363,https://gitlab.com/kornelski/openmp-rs.git,1.2.3
38425,unwind-sys,2022-02-26 14:15:55.606156,2017-11-07 06:13:05.260819,112405,https://github.com/sfackler/rstack,0.1.3
38485,libstrophe-sys-bindgen,2022-06-27 19:21:49.990672,2017-11-07 14:52:19.733302,6700,https://github.com/twistedfall/libstrophe-sys-bindgen,5.0.0
38926,opencl-sys,2022-09-17 10:20:24.485491,2017-11-10 23:12:19.941611,1990,https://github.com/kenba/opencl-sys-rs,0.2.4
41114,nettle-sys,2022-01-31 09:20:20.641540,2017-11-30 13:40:23.025096,64287,https://gitlab.com/sequoia-pgp/nettle-sys,2.1.0
48019,cfasttext-sys,2022-02-07 02:38:16.329860,2018-01-23 09:49:42.319962,12308,https://github.com/messense/fasttext-rs,0.7.0
48020,fasttext,2022-02-07 02:38:35.762749,2018-01-23 09:52:08.701165,11991,https://github.com/messense/fasttext-rs,0.7.0
48806,vapoursynth-sys,2022-07-13 03:46:14.033091,2018-01-29 16:55:44.233692,41329,https://github.com/YaLTeR/vapoursynth-rs,0.4.0
48821,faiss-sys,2022-03-28 17:02:34.991969,2018-01-29 19:52:58.976331,8894,https://github.com/Enet4/faiss-rs,0.6.0
49140,system-configuration-sys,2022-01-04 08:44:09.672686,2018-02-01 12:06:02.133901,301724,https://github.com/mullvad/system-configuration-rs,0.5.0
52648,mpi-sys,2022-08-05 14:41:17.600650,2018-02-24 14:17:18.071336,19399,https://github.com/rsmpi/rsmpi,0.2.0
55020,vapoursynth,2022-07-13 03:46:37.346331,2018-03-11 17:12:15.323529,40003,https://github.com/YaLTeR/vapoursynth-rs,0.4.0
57887,keyvi,2022-07-22 18:39:49.880701,2018-03-28 10:19:43.375029,17972,https://github.com/KeyviDev/keyvi,0.5.6
58764,geos,2022-04-27 14:02:04.597593,2018-04-03 09:54:17.641344,31192,https://github.com/georust/geos,8.1.0
63591,gaviota-sys,2022-08-26 08:53:53.634716,2018-05-03 14:11:30.247194,5596,https://github.com/niklasf/rust-gaviota-sys,0.1.21
66234,nitrokey-sys,2022-04-30 08:44:58.366166,2018-05-19 19:26:39.457258,11478,https://git.sr.ht/~ireas/nitrokey-sys-rs,3.7.0
67740,yara-sys,2022-09-01 13:11:48.569927,2018-05-30 09:39:48.971328,131316,https://github.com/Hugal31/yara-rust,0.16.0
71162,libnfs-sys,2022-09-22 15:43:14.539460,2018-06-21 21:02:12.254473,2513,https://github.com/cholcombe973/libnfs-sys,0.2.3
82022,mnl-sys,2022-02-11 10:34:33.356240,2018-08-29 21:01:16.121516,91507,https://github.com/mullvad/mnl-rs,0.2.1
83217,libnfs,2022-09-22 15:46:55.379844,2018-09-06 20:24:43.325711,850,https://github.com/cholcombe973/libnfs,0.1.1
84153,ntapi,2022-09-23 22:02:12.049486,2018-09-11 16:14:17.942528,13266011,https://github.com/MSxDOS/ntapi,0.4.0
85545,nftnl-sys,2022-02-11 14:20:34.269068,2018-09-19 19:28:42.393633,98509,https://github.com/mullvad/nftnl-rs,0.6.1
88263,sys-mount,2022-03-09 13:15:25.873290,2018-10-05 20:13:59.153613,123890,https://github.com/pop-os/sys-mount,1.5.1
88840,newt-sys,2022-05-01 03:01:10.608150,2018-10-09 05:58:03.709143,3467,https://github.com/rtgill82/newt-sys,0.1.9
90899,opencc-rust,2022-07-21 16:57:58.502907,2018-10-16 04:49:45.059259,7303,https://github.com/magiclen/opencc-rust,1.1.13
93770,zbar-rust,2022-07-23 08:09:22.153852,2018-10-31 08:35:48.502609,14766,https://github.com/magiclen/zbar-rust,0.0.20
97382,libthemis-sys,2021-12-23 10:48:30.580041,2018-11-18 05:15:57.644655,2439,https://github.com/cossacklabs/themis,0.14.0
98750,riot-sys,2022-10-01 19:20:27.856472,2018-11-26 13:48:26.058945,8417,https://github.com/RIOT-OS/rust-riot-sys/,0.7.9
102283,allegro_memfile-sys,2022-08-23 08:48:14.130339,2018-12-17 05:44:56.850699,1810,https://github.com/SiegeLord/RustAllegro,0.0.44
109041,vswhom-sys,2022-02-15 18:05:07.885470,2019-01-16 23:26:46.791318,538227,https://github.com/nabijaczleweli/vswhom-sys.rs,0.1.1
109858,libevent-sys,2022-10-23 02:02:29.226416,2019-01-21 18:49:07.094856,113840,https://github.com/jmagnuson/libevent-rs,0.2.5
110351,raylib-sys,2021-11-07 21:16:57.142844,2019-01-24 03:43:30.749659,15856,https://github.com/deltaphc/raylib-rs,3.7.0
111268,lmdb-rkv-sys,2022-02-04 21:57:31.829640,2019-01-29 01:06:17.486883,426630,https://github.com/mozilla/lmdb-rs.git,0.11.2
114270,zfp-sys,2022-07-19 04:26:10.146388,2019-02-12 09:27:40.306243,7290,https://github.com/jvo203/zfp-sys,0.1.11
118162,torch-sys,2022-07-04 09:05:03.400211,2019-03-02 16:46:29.679374,88256,https://github.com/LaurentMazare/tch-rs,0.8.0
118751,kpathsea_sys,2021-11-29 23:02:28.977318,2019-03-04 22:51:16.757989,1598,https://github.com/dginev/rust-kpathsea,0.1.2
122405,openxr-sys,2022-10-08 18:24:21.645869,2019-03-19 03:44:41.753064,29480,https://github.com/Ralith/openxrs,0.9.3
126347,statx-sys,2022-09-02 20:21:32.137738,2019-04-07 13:21:41.069354,1524,https://github.com/oxalica/statx-sys,0.4.1
126961,fermium,2022-10-22 01:20:18.622973,2019-04-10 09:27:32.888885,47288,https://github.com/Lokathor/fermium,22401.0.0
127436,geos-sys,2022-03-23 14:31:18.083452,2019-04-12 10:01:13.988571,30022,https://github.com/georust/geos,2.0.4
130149,hunspell-sys,2022-10-24 22:27:23.336016,2019-04-25 14:58:10.876498,12150,https://github.com/euclio/hunspell-sys,0.3.1
132413,nodejs-sys,2022-10-08 19:37:55.009732,2019-05-06 16:48:47.753339,19043,https://github.com/elmarx/nodejs-sys,0.14.0
132820,boolector-sys,2021-11-25 11:26:15.680145,2019-05-08 14:34:24.186123,7891,https://github.com/fatemender/boolector-sys,0.7.1
134765,ostree-sys,2022-10-28 07:36:51.967956,2019-05-16 20:10:09.122466,31455,https://github.com/ostreedev/ostree-rs,0.11.0
139842,env-libvpx-sys,2022-07-14 06:21:19.955584,2019-06-08 17:06:56.524408,28247,https://github.com/astraw/env-libvpx-sys,5.1.2
145269,ncursesw,2022-02-21 20:15:37.725239,2019-07-01 21:48:52.480105,4221,https://github.com/narfit66/ncursesw-rs,0.6.4
151702,nc,2022-10-21 02:29:38.818405,2019-07-26 03:07:55.568483,14997,https://github.com/xushaohua/nc,0.8.7
154244,skia-bindings,2022-10-02 17:41:52.629537,2019-08-05 08:08:04.029009,134664,https://github.com/rust-skia/rust-skia,0.55.0
156048,libzetta,2022-04-17 21:50:10.301350,2019-08-12 05:44:05.456822,2068,https://github.com/Inner-Heaven/libzetta-rs,0.3.1
156145,physx-sys,2022-10-20 11:59:37.438887,2019-08-12 14:46:34.389962,14092,https://github.com/EmbarkStudios/physx-rs,0.8.0
158031,clipper-sys,2022-03-16 11:01:49.571099,2019-08-19 09:36:33.854497,29164,https://github.com/lelongg/clipper-sys,0.7.2
160664,webp,2022-03-14 14:21:04.119201,2019-08-29 15:29:02.713309,44104,https://github.com/jaredforth/webp.git,0.2.2
163045,rustler_sys,2022-02-24 08:04:45.357747,2019-09-07 18:56:36.479315,1078037,https://github.com/rusterlium/rustler,2.2.0
163786,libkrb5-sys,2022-02-14 13:33:22.119210,2019-09-10 10:40:10.327407,859,https://github.com/ironthree/libkrb5-rs,0.0.3
169410,input-event-codes,2022-02-12 00:51:35.177472,2019-10-02 17:00:08.440548,14764,https://gitlab.com/gm666q/input-event-codes,5.16.8
170558,milter-sys,2021-12-02 07:21:32.444525,2019-10-07 11:55:14.407158,3815,https://gitlab.com/glts/milter-sys,0.2.3
177010,libcec-sys,2022-08-07 05:44:47.088184,2019-10-30 19:33:11.788182,4378,https://github.com/ssalonen/libcec-sys,4.0.0
177380,rpmalloc-sys,2022-04-15 12:58:52.775281,2019-11-01 14:52:13.091220,177181,https://github.com/EmbarkStudios/rpmalloc-rs,0.2.3+b097fd0
182022,libxlsxwriter-sys,2022-08-19 14:39:01.028896,2019-11-17 16:02:53.463833,59430,https://github.com/informationsea/xlsxwriter-rs,1.1.4
183488,jnix-macros,2022-09-16 07:36:52.333109,2019-11-22 13:52:42.924092,26132,https://github.com/mullvad/jnix,0.4.1
183491,jnix,2022-09-16 07:37:38.107302,2019-11-22 14:05:37.112431,26521,https://github.com/mullvad/jnix,0.5.0
190193,perf-event-open-sys,2022-07-04 20:05:15.694420,2019-12-18 06:36:09.271871,1143104,https://github.com/jimblandy/perf-event-open-sys.git,3.0.0
196371,oboe-sys,2022-01-11 14:55:41.734974,2020-01-07 22:06:54.832922,377143,https://github.com/katyo/oboe-rs,0.4.5
197054,libcryptsetup-rs-sys,2022-08-26 20:26:18.919764,2020-01-10 03:04:29.968770,97998,https://github.com/stratis-storage/libcryptsetup-rs,0.2.1
198422,minidl,2022-02-07 23:44:32.137885,2020-01-14 21:12:24.448891,17330,https://github.com/MaulingMonkey/minidl,0.1.4
198541,libnotcurses-sys,2022-09-25 09:52:53.926908,2020-01-15 06:47:09.497622,15842,https://github.com/dankamongmen/libnotcurses-sys,3.7.0
198607,tss-esapi,2022-05-25 15:06:47.847964,2020-01-15 11:42:15.671831,87416,https://github.com/parallaxsecond/rust-tss-esapi,7.1.0
201683,link-cplusplus,2022-08-22 10:53:21.999123,2020-01-24 23:19:30.309958,2124272,https://github.com/dtolnay/link-cplusplus,1.0.7
201927,libuv-sys2,2022-09-03 20:43:55.959533,2020-01-25 19:34:19.277663,4965,https://github.com/bmatcuk/libuv-sys/,1.44.2
202513,libcoap-sys,2022-06-28 00:40:38.846356,2020-01-27 21:25:31.771923,968,https://github.com/namib-project/libcoap-rs,0.2.0+libcoap-develop-8b9377e
203879,libfuse-sys,2022-07-23 10:30:57.156166,2020-02-01 08:49:57.012103,1438,https://github.com/richard-w/libfuse-sys,0.4.0
206791,jl-sys,2022-08-21 13:42:56.769961,2020-02-09 19:30:31.323631,4082,https://github.com/Taaitaaiger/jlrs,0.18.0
211783,rquickjs-sys,2022-08-20 16:00:23.940442,2020-02-23 15:36:05.303990,9985,https://github.com/DelSkayn/rquickjs.git,0.1.7
214088,libwebp-sys2,2022-05-21 12:09:05.276310,2020-03-01 04:08:33.490574,61713,https://github.com/qnighy/libwebp-sys2-rs,0.1.4
220645,vulkan-bindings,2022-10-22 22:36:36.915363,2020-03-20 08:21:32.216505,1696,https://github.com/bsekura/vulkan-bindings,1.3.231
